date,close
1999-12-01,34.09375
1999-12-02,33.71875
1999-12-03,34.15625
1999-12-06,32.3046875
1999-12-07,29.5
1999-12-08,30.0
1999-12-09,31.0625
1999-12-10,31.625
1999-12-13,31.0
1999-12-14,30.625
1999-12-15,29.9375
1999-12-16,29.25
1999-12-17,29.875
1999-12-20,29.78125
1999-12-21,29.21875
1999-12-22,29.25
1999-12-23,29.625
1999-12-27,29.75
1999-12-28,29.5625
1999-12-29,29.46875
1999-12-30,29.21875
1999-12-31,29.125
2000-01-03,28.1875
2000-01-04,28.21875
2000-01-05,28.46875
2000-01-06,28.5
2000-01-07,30.375
2000-01-10,29.40625
2000-01-11,30.40625
2000-01-12,30.75
2000-01-13,30.28125
2000-01-14,30.53125
2000-01-18,32.5
2000-01-19,32.625
2000-01-20,32.9375
2000-01-21,33.4375
2000-01-24,32.4375
2000-01-25,32.9375
2000-01-26,31.53125
2000-01-27,29.75
2000-01-28,28.46875
2000-01-31,28.71875
2000-02-01,29.0625
2000-02-02,28.1875
2000-02-03,27.625
2000-02-04,28.125
2000-02-07,28.4375
2000-02-08,28.59375
2000-02-09,28.5
2000-02-10,28.34375
2000-02-11,27.78125
2000-02-14,27.0625
2000-02-15,27.84375
2000-02-16,26.78125
2000-02-17,26.15625
2000-02-18,25.6875
2000-02-22,25.875
2000-02-23,25.625
2000-02-24,24.90625
2000-02-25,24.34375
2000-02-28,24.65625
2000-02-29,24.3125
2000-03-01,25.5
2000-03-02,24.8125
2000-03-03,25.0625
2000-03-06,24.5
2000-03-07,23.5625
2000-03-08,23.75
2000-03-09,23.375
2000-03-10,22.75
2000-03-13,21.875
2000-03-14,21.65625
2000-03-15,23.78125
2000-03-16,24.875
2000-03-17,24.5625
2000-03-20,24.28125
2000-03-21,24.71875
2000-03-22,23.53125
2000-03-23,23.5
2000-03-24,23.5
2000-03-27,22.625
2000-03-28,22.4375
2000-03-29,23.4375
2000-03-30,24.28125
2000-03-31,23.46875
2000-04-03,24.65625
2000-04-04,26.1875
2000-04-05,23.8125
2000-04-06,22.875
2000-04-07,23.09375
2000-04-10,22.5
2000-04-11,23.59375
2000-04-12,24.25
2000-04-13,23.625
2000-04-14,23.5
2000-04-17,24.25
2000-04-18,24.3125
2000-04-19,24.59375
2000-04-20,24.71875
2000-04-24,24.8125
2000-04-25,25.25
2000-04-26,24.71875
2000-04-27,24.125
2000-04-28,23.625
2000-05-01,23.125
2000-05-02,23.125
2000-05-03,24.25
2000-05-04,24.25
2000-05-05,23.53125
2000-05-08,24.25
2000-05-09,25.25
2000-05-10,26.40625
2000-05-11,26.78125
2000-05-12,26.125
2000-05-15,25.875
2000-05-16,24.46875
2000-05-17,24.125
2000-05-18,24.71875
2000-05-19,25.03125
2000-05-22,25.34375
2000-05-23,25.0
2000-05-24,26.34375
2000-05-25,26.34375
2000-05-26,27.28125
2000-05-30,26.9375
2000-05-31,26.6875
2000-06-01,26.625
2000-06-02,26.28125
2000-06-05,26.0
2000-06-06,25.90625
2000-06-07,26.5
2000-06-08,26.40625
2000-06-09,26.15625
2000-06-12,26.3125
2000-06-13,26.6875
2000-06-14,26.5
2000-06-15,27.9375
2000-06-16,27.75
2000-06-19,27.21875
2000-06-20,26.46875
2000-06-21,26.75
2000-06-22,28.0625
2000-06-23,28.9375
2000-06-26,29.5
2000-06-27,28.9375
2000-06-28,30.0234375
2000-06-29,29.53125
2000-06-30,28.71875
2000-07-03,29.09375
2000-07-05,29.375
2000-07-06,29.46875
2000-07-07,29.375
2000-07-10,28.78125
2000-07-11,28.09375
2000-07-12,28.0625
2000-07-13,28.96875
2000-07-14,28.8125
2000-07-17,28.671875
2000-07-18,29.09375
2000-07-19,30.25
2000-07-20,30.25
2000-07-21,30.4296875
2000-07-24,29.625
2000-07-25,29.625
2000-07-26,29.40625
2000-07-27,30.21875
2000-07-28,31.34375
2000-07-31,30.65625
2000-08-01,31.5
2000-08-02,31.46875
2000-08-03,31.5
2000-08-04,31.0625
2000-08-07,30.6875
2000-08-08,30.46875
2000-08-09,29.90625
2000-08-10,30.5
2000-08-11,31.125
2000-08-14,31.53125
2000-08-15,31.0
2000-08-16,30.34375
2000-08-17,29.84375
2000-08-18,30.15625
2000-08-21,29.90625
2000-08-22,29.0
2000-08-23,29.3984375
2000-08-24,28.96875
2000-08-25,28.0
2000-08-28,28.5
2000-08-29,28.15625
2000-08-30,27.125
2000-08-31,26.3203125
2000-09-01,27.125
2000-09-05,28.15625
2000-09-06,27.15625
2000-09-07,27.0
2000-09-08,27.28125
2000-09-11,26.5
2000-09-12,26.75
2000-09-13,26.25
2000-09-14,25.5
2000-09-15,25.40625
2000-09-18,26.5625
2000-09-19,26.4375
2000-09-20,25.125
2000-09-21,24.78125
2000-09-22,26.4375
2000-09-25,26.78125
2000-09-26,27.46875
2000-09-27,27.8125
2000-09-28,27.71875
2000-09-29,27.5625
2000-10-02,28.5
2000-10-03,28.15625
2000-10-04,28.625
2000-10-05,29.5625
2000-10-06,29.21875
2000-10-09,28.90625
2000-10-10,29.09375
2000-10-11,29.28125
2000-10-12,28.625
2000-10-13,28.59375
2000-10-16,29.3125
2000-10-17,28.96875
2000-10-18,29.09375
2000-10-19,28.5625
2000-10-20,27.40625
2000-10-23,27.65625
2000-10-24,28.0625
2000-10-25,28.96875
2000-10-26,29.34375
2000-10-27,29.46875
2000-10-30,29.9375
2000-10-31,30.1875
2000-11-01,30.4375
2000-11-02,30.375
2000-11-03,29.65625
2000-11-06,30.25
2000-11-07,30.03125
2000-11-08,30.09375
2000-11-09,31.15625
2000-11-10,30.9375
2000-11-13,30.53125
2000-11-14,30.28125
2000-11-15,30.65625
2000-11-16,30.96875
2000-11-17,30.71875
2000-11-20,28.28125
2000-11-21,27.625
2000-11-22,29.78125
2000-11-24,29.5
2000-11-27,29.78125
2000-11-28,30.21875
2000-11-29,31.0625
2000-11-30,31.3125
2000-12-01,31.09375
2000-12-04,31.375
2000-12-05,30.71875
2000-12-06,30.4375
2000-12-07,31.1875
2000-12-08,30.4375
2000-12-11,29.15625
2000-12-12,29.0
2000-12-13,28.90625
2000-12-14,28.5
2000-12-15,26.75
2000-12-18,27.4375
2000-12-19,28.375
2000-12-20,28.125
2000-12-21,29.6875
2000-12-22,29.4375
2000-12-26,30.0
2000-12-27,30.28125
2000-12-28,30.53125
2000-12-29,30.46875
2001-01-02,30.40625
2001-01-03,29.625
2001-01-04,28.78125
2001-01-05,28.84375
2001-01-08,29.3125
2001-01-09,29.6875
2001-01-10,29.5625
2001-01-11,28.6875
2001-01-12,28.3125
2001-01-16,28.5
2001-01-17,28.96875
2001-01-18,28.5625
2001-01-19,27.90625
2001-01-22,27.84375
2001-01-23,28.4375
2001-01-24,29.03125
2001-01-25,29.3125
2001-01-26,28.96875
2001-01-29,28.559999465942383
2001-01-30,28.954999923706055
2001-01-31,29.0
2001-02-01,28.719999313354492
2001-02-02,28.8700008392334
2001-02-05,29.600000381469727
2001-02-06,29.709999084472656
2001-02-07,30.0
2001-02-08,30.30500030517578
2001-02-09,30.06999969482422
2001-02-12,30.40999984741211
2001-02-13,29.979999542236328
2001-02-14,29.75
2001-02-15,29.184999465942383
2001-02-16,29.68000030517578
2001-02-20,29.235000610351562
2001-02-21,27.459999084472656
2001-02-22,26.4950008392334
2001-02-23,26.0
2001-02-26,26.235000610351562
2001-02-27,26.0
2001-02-28,26.514999389648438
2001-03-01,26.350000381469727
2001-03-02,26.274999618530273
2001-03-05,25.100000381469727
2001-03-06,24.899999618530273
2001-03-07,25.21500015258789
2001-03-08,25.700000762939453
2001-03-09,25.75
2001-03-12,25.049999237060547
2001-03-13,24.375
2001-03-14,23.834999084472656
2001-03-15,23.825000762939453
2001-03-16,24.325000762939453
2001-03-19,24.200000762939453
2001-03-20,23.71500015258789
2001-03-21,22.625
2001-03-22,22.860000610351562
