Date,Close
2000-01-03,28.187500
2000-01-04,28.218750
2000-01-05,28.468750
2000-01-06,28.500000
2000-01-07,30.375000
2000-01-10,29.406250
2000-01-11,30.406250
2000-01-12,30.750000
2000-01-13,30.281250
2000-01-14,30.531250
2000-01-18,32.500000
2000-01-19,32.625000
2000-01-20,32.937500
2000-01-21,33.437500
2000-01-24,32.437500
2000-01-25,32.937500
2000-01-26,31.531250
2000-01-27,29.750000
2000-01-28,28.468750
2000-01-31,28.718750
2000-02-01,29.062500
2000-02-02,28.187500
2000-02-03,27.625000
2000-02-04,28.125000
2000-02-07,28.437500
2000-02-08,28.593750
2000-02-09,28.500000
2000-02-10,28.343750
2000-02-11,27.781250
2000-02-14,27.062500
2000-02-15,27.843750
2000-02-16,26.781250
2000-02-17,26.156250
2000-02-18,25.687500
2000-02-22,25.875000
2000-02-23,25.625000
2000-02-24,24.906250
2000-02-25,24.343750
2000-02-28,24.656250
2000-02-29,24.312500
2000-03-01,25.500000
2000-03-02,24.812500
2000-03-03,25.062500
2000-03-06,24.500000
2000-03-07,23.562500
2000-03-08,23.750000
2000-03-09,23.375000
2000-03-10,22.750000
2000-03-13,21.875000
2000-03-14,21.656250
2000-03-15,23.781250
2000-03-16,24.875000
2000-03-17,24.562500
2000-03-20,24.281250
2000-03-21,24.718750
2000-03-22,23.531250
2000-03-23,23.500000
2000-03-24,23.500000
2000-03-27,22.625000
2000-03-28,22.437500
2000-03-29,23.437500
2000-03-30,24.281250
2000-03-31,23.468750
2000-04-03,24.656250
2000-04-04,26.187500
2000-04-05,23.812500
2000-04-06,22.875000
2000-04-07,23.093750
2000-04-10,22.500000
2000-04-11,23.593750
2000-04-12,24.250000
2000-04-13,23.625000
2000-04-14,23.500000
2000-04-17,24.250000
2000-04-18,24.312500
2000-04-19,24.593750
2000-04-20,24.718750
2000-04-24,24.812500
2000-04-25,25.250000
2000-04-26,24.718750
2000-04-27,24.125000
2000-04-28,23.625000
2000-05-01,23.125000
2000-05-02,23.125000
2000-05-03,24.250000
2000-05-04,24.250000
2000-05-05,23.531250
2000-05-08,24.250000
2000-05-09,25.250000
2000-05-10,26.406250
2000-05-11,26.781250
2000-05-12,26.125000
2000-05-15,25.875000
2000-05-16,24.468750
2000-05-17,24.125000
2000-05-18,24.718750
2000-05-19,25.031250
2000-05-22,25.343750
2000-05-23,25.000000
2000-05-24,26.343750
2000-05-25,26.343750
2000-05-26,27.281250
2000-05-30,26.937500
2000-05-31,26.687500
2000-06-01,26.625000
2000-06-02,26.281250
2000-06-05,26.000000
2000-06-06,25.906250
2000-06-07,26.500000
2000-06-08,26.406250
2000-06-09,26.156250
2000-06-12,26.312500
2000-06-13,26.687500
2000-06-14,26.500000
2000-06-15,27.937500
2000-06-16,27.750000
2000-06-19,27.218750
2000-06-20,26.468750
2000-06-21,26.750000
2000-06-22,28.062500
2000-06-23,28.937500
2000-06-26,29.500000
2000-06-27,28.937500
2000-06-28,30.023438
2000-06-29,29.531250
2000-06-30,28.718750
2000-07-03,29.093750
2000-07-05,29.375000
2000-07-06,29.468750
2000-07-07,29.375000
2000-07-10,28.781250
2000-07-11,28.093750
2000-07-12,28.062500
2000-07-13,28.968750
2000-07-14,28.812500
2000-07-17,28.671875
2000-07-18,29.093750
2000-07-19,30.250000
2000-07-20,30.250000
2000-07-21,30.429688
2000-07-24,29.625000
2000-07-25,29.625000
2000-07-26,29.406250
2000-07-27,30.218750
2000-07-28,31.343750
2000-07-31,30.656250
2000-08-01,31.500000
2000-08-02,31.468750
2000-08-03,31.500000
2000-08-04,31.062500
2000-08-07,30.687500
2000-08-08,30.468750
2000-08-09,29.906250
2000-08-10,30.500000
2000-08-11,31.125000
2000-08-14,31.531250
2000-08-15,31.000000
2000-08-16,30.343750
2000-08-17,29.843750
2000-08-18,30.156250
2000-08-21,29.906250
2000-08-22,29.000000
2000-08-23,29.398438
2000-08-24,28.968750
2000-08-25,28.000000
2000-08-28,28.500000
2000-08-29,28.156250
2000-08-30,27.125000
2000-08-31,26.320312
2000-09-01,27.125000
2000-09-05,28.156250
2000-09-06,27.156250
2000-09-07,27.000000
2000-09-08,27.281250
2000-09-11,26.500000
2000-09-12,26.750000
2000-09-13,26.250000
2000-09-14,25.500000
2000-09-15,25.406250
2000-09-18,26.562500
2000-09-19,26.437500
2000-09-20,25.125000
2000-09-21,24.781250
2000-09-22,26.437500
2000-09-25,26.781250
2000-09-26,27.468750
2000-09-27,27.812500
2000-09-28,27.718750
2000-09-29,27.562500
2000-10-02,28.500000
2000-10-03,28.156250
2000-10-04,28.625000
2000-10-05,29.562500
2000-10-06,29.218750
2000-10-09,28.906250
2000-10-10,29.093750
2000-10-11,29.281250
2000-10-12,28.625000
2000-10-13,28.593750
2000-10-16,29.312500
2000-10-17,28.968750
2000-10-18,29.093750
2000-10-19,28.562500
2000-10-20,27.406250
2000-10-23,27.656250
2000-10-24,28.062500
2000-10-25,28.968750
2000-10-26,29.343750
2000-10-27,29.468750
2000-10-30,29.937500
2000-10-31,30.187500
2000-11-01,30.437500
2000-11-02,30.375000
2000-11-03,29.656250
2000-11-06,30.250000
2000-11-07,30.031250
2000-11-08,30.093750
2000-11-09,31.156250
2000-11-10,30.937500
2000-11-13,30.531250
2000-11-14,30.281250
2000-11-15,30.656250
2000-11-16,30.968750
2000-11-17,30.718750
2000-11-20,28.281250
2000-11-21,27.625000
2000-11-22,29.781250
2000-11-24,29.500000
2000-11-27,29.781250
2000-11-28,30.218750
2000-11-29,31.062500
2000-11-30,31.312500
