Date,Cash
2022-03-31,25754.06
2022-04-29,26817.58
2022-05-31,27883.72
2022-06-30,28952.49
2022-07-29,30023.89
2022-08-31,31097.94
2022-09-30,32174.63
2022-10-31,33253.99
2022-11-30,34336.00
2022-12-30,35420.68
2023-01-31,36508.04
2023-02-28,37598.08
2023-03-31,38690.80
2023-04-28,39786.23
2023-05-31,40884.35
2023-06-30,41985.18
2023-07-31,43088.73
2023-08-31,44195.00
2023-09-29,45303.99
2023-10-31,46415.72
2023-11-30,47530.20
2023-12-29,48647.42
2024-01-31,49767.40
2024-02-29,50890.14
2024-03-28,52015.65
2024-04-30,53143.93
2024-05-31,54275.00
2024-06-28,55408.86
2024-07-31,56545.51
2024-08-30,57684.97
2024-09-30,58827.23
2024-10-31,59972.32
2024-11-29,61120.22
2024-12-31,62270.96
2025-01-31,63424.54
2025-02-28,64580.96
2025-03-31,65740.24
2025-04-30,66902.37
2025-05-30,68067.37
2025-06-30,69235.24
2025-07-31,70405.99
2025-08-29,71579.63
2025-09-30,72756.17
2025-10-31,73935.60
2025-11-28,75117.95
2025-12-31,76303.21
2026-01-30,77491.40
2026-02-27,78682.51
2026-03-31,79876.56
2026-04-30,81073.56
2026-05-29,82273.51
2026-06-30,83476.42
2026-07-15,84682.29
